X,Y,Z,row_id,status_r0.5,match_pred_idx_r0.5,match_dist_r0.5,status_r1.0,match_pred_idx_r1.0,match_dist_r1.0
6050927.458299999,2138752.7076,122.1764,0,FN,-1,,FN,-1,
6050912.447,2138707.3109,121.416,1,FN,-1,,FN,-1,
6050908.4937,2138695.1553,121.1649,2,FN,-1,,FN,-1,
6050905.7823,2138686.5057,120.95300000000002,3,FN,-1,,FN,-1,
6050898.249900001,2138663.0395,120.4312,4,FN,-1,,FN,-1,
6050894.048099999,2138649.3006,120.0053,5,FN,-1,,FN,-1,
6050890.1867,2138637.5367,120.4011,6,FN,-1,,FN,-1,
6050886.205900001,2138625.8741,119.9275,7,FN,-1,,FN,-1,
6050883.0423,2138615.9769,119.7681,8,FN,-1,,FN,-1,
6050878.4565,2138602.0233,119.67220000000002,9,FN,-1,,FN,-1,
6050875.430800001,2138593.1332,119.3454,10,FN,-1,,FN,-1,
6050871.9855,2138581.8009,119.2805,11,FN,-1,,FN,-1,
6050868.775000001,2138572.0671,119.0596,12,FN,-1,,FN,-1,
6050864.4648,2138559.3892,118.8384,13,FN,-1,,FN,-1,
6051127.5737,2138895.6979,127.0936,14,FN,-1,,FN,-1,
6050987.9982,2138452.5839,120.3,15,Matched,3,0.09473865020022404,Matched,3,0.09473865020022404
6050982.5526,2138435.7898,120.0089,16,Matched,7,0.047558672487802746,Matched,7,0.047558672487802746
6050975.547000001,2138414.3603,119.6453,17,Matched,5,0.13775369611127072,Matched,5,0.13775369611127072
6050970.786000001,2138400.0228,119.5453,18,Matched,6,0.1506703147391478,Matched,6,0.1506703147391478
6050963.9714,2138378.2698,119.20869999999998,19,Matched,4,0.14680166944232848,Matched,4,0.14680166944232848
6050929.9119,2138271.901,118.1435,20,FN,-1,,FN,-1,
6050915.3187,2138228.2258,117.734,21,FN,-1,,FN,-1,
6050909.201900001,2138209.4548,117.6247,22,FN,-1,,FN,-1,
6050895.6484,2138167.0865,117.2866,23,FN,-1,,FN,-1,
6050890.7698,2138152.7913,117.1998,24,FN,-1,,FN,-1,
6050884.369,2138132.4028,117.2027,25,Matched,2,0.155775459783374,Matched,2,0.155775459783374
6050877.8464,2138112.9025,116.981,26,Matched,1,0.26395964059091553,Matched,1,0.26395964059091553
6050871.1081,2138092.0075,116.7375,27,Matched,0,0.13883607849286833,Matched,0,0.13883607849286833
6050902.084400001,2138674.6525,120.298,28,FN,-1,,FN,-1,
